torsion       0    2    2    2     -2.500 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       0    2    2    6     -2.500 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       1    2    2    2     -2.000 0.0 1   0.700 180.0 2   3.000 0.0 3
torsion       1    2    2    6     -2.000 0.0 1   0.700 180.0 2   3.000 0.0 3
torsion       2    2    2    2     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2    2    6     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2    2   10     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2    2   13     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2    2   65     -2.000 0.0 1   0.500 180.0 2   3.250 0.0 3
torsion       6    2    2    6     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       6    2    2   65     -2.000 0.0 1   0.500 180.0 2   3.250 0.0 3
torsion      10    2    2   10     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2    5    7      0.300 0.0 1   0.000 180.0 2   1.300 0.0 3
torsion       6    2    5    7      0.300 0.0 1   0.000 180.0 2   1.300 0.0 3
torsion      10    2    5    7      0.300 0.0 1   0.000 180.0 2   1.300 0.0 3
torsion       0    2   10    2     -2.500 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2   10    2     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       2    2   13    2     -3.400 0.0 1   1.250 180.0 2   3.100 0.0 3
torsion       6    2   20    2     -7.400 0.0 1   3.000 180.0 2   1.800 0.0 3
torsion       6    2   20    6     -8.400 0.0 1   3.000 180.0 2   1.800 0.0 3
torsion       4    3    3    4      1.600 0.0 1   3.200 180.0 2   0.000 0.0 3
torsion       4    3    3   13      0.000 0.0 1   0.500 180.0 2   0.000 0.0 3
torsion       4    3    3   24      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3    3   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      13    3    3   13      0.700 0.0 1  -1.500 180.0 2   0.000 0.0 3
torsion      13    3    3   24     -0.500 0.0 1   0.200 180.0 2   0.000 0.0 3
torsion      13    3    3   46      0.800 0.0 1  -0.760 180.0 2   0.000 0.0 3
torsion      24    3    3   46     -0.900 0.0 1   0.300 180.0 2   0.000 0.0 3
torsion      46    3    3   46      0.000 0.0 1   0.000 180.0 2   0.300 0.0 3
torsion       3    3    5    7      3.000 0.0 1   5.500 180.0 2   0.000 0.0 3
torsion       4    3    5    7      0.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion      13    3    5    7      1.500 0.0 1   5.500 180.0 2   0.000 0.0 3
torsion      24    3    5    7     -2.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion      46    3    5    7      1.500 0.0 1   5.500 180.0 2   0.000 0.0 3
torsion      48    3    5    7      4.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion       1    3   13   13      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       1    3   13   46      0.000 0.0 1   0.000 180.0 2   0.360 0.0 3
torsion       3    3   13   46      0.000 0.0 1   0.000 180.0 2   0.085 0.0 3
torsion       4    3   13    0      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   13   13      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   13   21     -0.650 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   13   44      0.000 0.0 1   0.820 180.0 2   0.000 0.0 3
torsion       4    3   13   24      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   13   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   13   48      0.000 0.0 1   0.546 180.0 2   0.000 0.0 3
torsion       5    3   13   13      0.000 0.0 1   1.412 180.0 2   0.000 0.0 3
torsion       5    3   13   44      5.260 0.0 1   0.820 180.0 2   0.000 0.0 3
torsion       5    3   13   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      13    3   13   13      1.454 0.0 1  -0.144 180.0 2  -0.775 0.0 3
torsion      13    3   13   46      0.000 0.0 1   0.000 180.0 2   0.275 0.0 3
torsion      20    3   13   13      0.000 0.0 1   0.000 180.0 2  -0.553 0.0 3
torsion      20    3   13   46      0.000 0.0 1   0.000 180.0 2   0.132 0.0 3
torsion      21    3   13   13      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      21    3   13   46      0.000 0.0 1   0.000 180.0 2   0.360 0.0 3
torsion      24    3   13   13      1.173 0.0 1   0.189 180.0 2  -1.200 0.0 3
torsion      24    3   13   21      0.650 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      24    3   13   24      1.816 0.0 1   1.222 180.0 2   1.581 0.0 3
torsion      24    3   13   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      46    3   13   13      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      46    3   13   46      0.000 0.0 1   0.000 180.0 2   0.360 0.0 3
torsion      48    3   13   46      0.000 0.0 1   0.000 180.0 2   0.275 0.0 3
torsion      52    3   13   13      0.000 0.0 1   0.820 180.0 2   0.000 0.0 3
torsion      52    3   13   44      0.000 0.0 1   0.820 180.0 2   0.000 0.0 3
torsion      52    3   13   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      65    3   13   13      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      65    3   13   46      0.000 0.0 1   0.000 180.0 2   0.360 0.0 3
torsion     107    3   13   46      0.000 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion       4    3   20   13      0.000 0.0 1   5.124 180.0 2   0.000 0.0 3
torsion       4    3   20   48      0.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion      13    3   20   13      4.669 0.0 1   5.124 180.0 2   0.000 0.0 3
torsion      13    3   20   48      1.500 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion      24    3   20   13     -2.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion      46    3   20   13      4.669 0.0 1   5.124 180.0 2   0.000 0.0 3
torsion      48    3   20   13      4.000 0.0 1   5.000 180.0 2   0.000 0.0 3
torsion       3    3   24   13      0.400 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion       3    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion       4    3   24    5      0.000 0.0 1   6.603 180.0 2   0.000 0.0 3
torsion       4    3   24   13      0.000 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion       4    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion       4    3   24   47      0.000 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion       4    3   24   48      0.000 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion       4    3   24   91      0.000 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion       5    3   24   13      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion       5    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      13    3   24    5      4.542 0.0 1   6.603 180.0 2   1.045 0.0 3
torsion      13    3   24   13      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      13    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      13    3   24   48      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      20    3   24   13      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      20    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      24    3   24    3      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      24    3   24   13      4.600 0.0 1   0.000 180.0 2   0.000 0.0 3
torsion      24    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      46    3   24   13      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      46    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      47    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      48    3   24   45      0.000 0.0 1   4.900 180.0 2   0.000 0.0 3
torsion      48    3   24   48      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      48    3   24   84      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      48    3   24   87      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
torsion      84    3   24   48      2.300 0.0 1   6.089 180.0 2   0.000 0.0 3
